factor_number,factor_name,category,data_source,description,importance
1,前走着順,過去レース評価,JRA-VAN/JRDB,前走の着順を評価。前走1着~3着は人気になりやすく回収率が低い傾向。前走二桁着順は過小評価されやすい,高
2,前走の頭数,過去レース評価,JRA-VAN,前走の出走頭数を考慮。頭数の多いレースでの実績を評価,中
3,前走のペース,過去レース評価,JRA-VAN/JRDB,前走のペース配分。ダートでは前走ハイペース馬をプラス、芝では前走スローペース馬をプラス評価,高
4,前走着差,過去レース評価,JRA-VAN/JRDB,前走の勝ち馬との着差。接近戦の実績を評価,中
5,前走展開,過去レース評価,JRA-VAN/JRDB,前走のレース展開（不利など）。前走不利があった馬を過小評価馬として捕捉,高
6,近走レース内容,過去レース評価,JRA-VAN/JRDB,近走のレース内容総合評価。頭数、着順、着差、展開、不利などを総合,高
7,前走クラス,過去レース評価,JRA-VAN,前走のクラスレベル。高クラスでの実績を評価,中
8,前走路適正,過去レース評価,JRA-VAN,前走のコース・距離・馬場状態の適正,中
9,2走着順,過去レース評価,JRA-VAN/JRDB,2走前の着順も考慮,中
10,3走着順,過去レース評価,JRA-VAN/JRDB,3走前の着順も考慮,低
11,馬種別（マル外など）,馬種別,JRA-VAN,外国産馬（マル外）などの馬種別属性,中
12,関東遠征,遠征,JRA-VAN,関東馬が関西に遠征する場合の評価,中
13,関西遠征,遠征,JRA-VAN,関西馬が関東に遠征する場合の評価,中
14,父血統,血統,JRDB/JRA-VAN,父の距離適性・馬場適性を評価,高
15,母父血統,血統,JRDB/JRA-VAN,母父の距離適性・馬場適性を評価,高
16,血統評価総合,血統,JRDB/JRA-VAN,血統的な適性総合評価。種牡馬ごとの距離・馬場適性など計7項目を含む,高
17,母系血統,血統,JRDB/JRA-VAN,母系の血統評価,中
18,血統×コース適正,血統,JRDB/JRA-VAN,血統と今回コースの適合性,中
19,芝適正,コース適正,JRA-VAN,芝コースへの適正,高
20,ダート適正,コース適正,JRA-VAN,ダートコースへの適正,高
21,コースの坂,コース適正,JRA-VAN,直線の坂やカーブの緩急への適性,中
22,コース形状適正,コース適正,JRA-VAN,コースの形状（右回り・左回りなど）への適正,中
23,距離適正,コース適正,JRA-VAN,今回の距離への適正,高
24,馬場状態適正,コース適正,JRA-VAN,良・稍重・重・不良の各馬場状態への適正,中
25,今回レース条件（減量騎手）,今回レース条件,JRA-VAN,減量騎手の起用などの条件,中
26,斤量,今回レース条件,JRA-VAN,今回の斤量負担。斤量増減の評価,中
27,牡馬,性別,JRA-VAN,牡馬の回収率が一般的に高い傾向を反映,中
28,牝馬,性別,JRA-VAN,牝馬の評価。夏の牝馬など季節との組み合わせも考慮,中
29,牝馬×季節,性別,JRA-VAN,牝馬と季節（特に夏）の関係を評価,中
30,調教師成績,調教師,JRA-VAN,調教師別の成績・傾向に基づく得点,中
31,厩舎,調教師,JRA-VAN,厩舎の傾向,中
32,連闘,ローテーション,JRA-VAN,連闘（前走から1週での出走）の評価,中
33,休養明け週数,ローテーション,JRA-VAN,休養明けの週数（中〇週）,高
34,叩き〇走目,ローテーション,JRA-VAN,叩き何走目か（休み明け2走目など）,中
35,ローテーション総合,ローテーション,JRA-VAN,連闘・休養明け・叩きの総合評価,高
36,距離変更（短縮）,レース条件変化,JRA-VAN,距離短縮の影響評価,高
37,距離変更（延長）,レース条件変化,JRA-VAN,距離延長の影響評価,高
38,クラス変化（昇級）,レース条件変化,JRA-VAN,クラス昇級の影響評価,高
39,ブリンカー,レース条件変化,JRA-VAN,ブリンカー装着の有無と効果,中
40,トラック変更,レース条件変化,JRA-VAN,トラック（コース種別）の変更,中
41,馬番（奇数・偶数）,レース条件変化,JRA-VAN,奇数馬番・偶数馬番による有利不利,中
42,内枠・外枠,レース条件変化,JRA-VAN,枠順の内枠・外枠評価,中
43,馬体重（前走時）,馬体重,JRA-VAN,前走時の馬体重を使用。2歳戦では重い方が有利、冬場は大型馬が強いなど,高
44,馬体重変化,馬体重,JRA-VAN,前走との馬体重変化の評価,高
45,キャリア（出走回数）,その他,JRA-VAN,出走回数。2・3歳戦ではキャリアが多いほど回収率が上がる傾向,中